Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status
Northumberland County Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,2935,,,366796,"Barras Bridge, Newcastle-Upon-Tyne, NE1 8QF",,Open
Nottingham City Council,Nottingham County & Family Court,Nottingham County Court And Family Court,3060,,,424213,"Canal Street, NG1 7EJ",,Open
Nottinghamshire County Council,Nottingham County & Family Court,Nottingham County Court And Family Court,3055,,,424213,"Canal Street, NG1 7EJ",,Open
Oldham Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4220,,,701411,"Bridge Street West, M60 9DJ",,Open
Oxfordshire City Council,Oxford County Court,Oxford Combined Court Centre,3100,,,371016,"Combined Court Building, St Aldates, Oxford, OX1 1TL",,Open
Pembrokeshire County Council,Swansea DFC,Swansea Civil And Family Justice Centre,6845,,,234946,"Caravella House, Quay Parade, SA1 1SP",,Open
Peterborough City Council,Peterborough County Court,Peterborough Combined Court Centre,540,,,471569,"Crown Buildings, Rivergate, PE1 1EJ",,Open
Powys County Council,Swansea DFC,Swansea Civil And Family Justice Centre,6850,,Welshpool,234946,"Caravella House, Quay Parade, SA1 1SP",,Open
Powys County Council,Wrexham DFC,Wrexham County & Family Court,6850,Welshpool,,637145,"Bodhyfyd, The Law Courts, LL12 7BP",,Open
Reading Borough Council,Reading County Court,Reading County Court And Family Court,345,,,185657,"Friar Street, RG1 1HE",,Open
Redcar and Cleveland Borough Council ,Teesside Combined Court ,Teesside Combined Court Centre,728,,,195537,"The Combined Centre, Russell Street, Middlesbrough, TS1 2AE",,Open
Rhondda Cynon Taff County Borough Council,Pontypridd County Court,Pontypridd County Court And Family Court,6940,,,232298,"The Court House, Courthouse Street, CF37 1JR",,Open
Rochdale Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4225,,,701411,"Bridge Street West, M60 9DJ",,Open
Rotherham Metropolitan Borough Council,Sheffield Designated Family Court,Sheffield Designated Family Court,4415,,,778638,"48 West Bar, Sheffield, South Yorkshire, S3 8PH",,Open
Royal Borough of Windsor and Maidenhead,Reading County Court,Reading County Court And Family Court,355,,,185657,"Friar Street, RG1 1HE",,Open
