Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status,DFJ Area,Region,Path Finder Enabled,
Test Valley Borough Council,Basingstoke County Court,Basingstoke County Court And Family Court,1760,,,457273,"The Court House, London Road,RG21 4AB",,Open,Hampshire County Council ,South West,TRUE,
Winchester City Council,Basingstoke County Court,Basingstoke County Court And Family Court,1765,,,457273,"The Court House, London Road,RG21 4AB",,Open,Hampshire County Council ,South West,TRUE,
Barnsley Metropolitan Borough Council,Sheffield Combined Court,Sheffield Family Hearing Centre,4405,,,778638,"48 West Bar, Sheffield, South Yorkshire,S3 8PH",,Open,South Yorkshire,North East,FALSE,
Cannock Chase District Council,Wolverhampton Family Court,Wolverhampton Combined Court Centre,3405,,,41047,"Pipers Row, Wolverhampton,WV1 3LQ",,Open,Black Country & Shropshire,Midlands,TRUE,
East Staffordshire Borough Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3410,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands,TRUE,
Lichfield District Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3415,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands,TRUE,
Newcastle-Under-Lyme Borough Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3420,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands,TRUE,
South Staffordshire Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3430,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands,TRUE,
Stafford Borough Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3425,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands,TRUE,
Staffordshire Moorlands District Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3435,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands,TRUE,
Tamworth Borough Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3445,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands,TRUE,
Swindon Borough Council,Swindon Family Court,Swindon Combined Court,3935,,,438850,"The Law Courts, Islington Street,SN1 2HG",,Open,Swindon County Council ,South West,FALSE,
Wiltshire Council,Swindon Family Court,Swindon Combined Court,3940,,,438850,"The Law Courts, Islington Street,SN1 2HG",,Open,Swindon County Council ,South West,FALSE,
Somerset Council,Taunton Family Court,"Taunton Crown, County And Family Court",3300,,,382409,"Shire Hall,TA1 4EU",,Open,Somerset Council ,South West,FALSE,
Cornwall Council,Truro Family Court,Truro Combined Court,840,,,475776,"Courts of Justice, Edward Street,TR1 2PB",,Open,Cornwall Council ,South West,FALSE,
Council Of The Isles Of Scilly,Truro Family Court,Truro Combined Court,835,,,475776,"Courts of Justice, Edward Street,TR1 2PB",,Open,Cornwall Council ,South West,FALSE,
Bromsgrove District Council,Truro Family Court,Truro Combined Court,1805,,,475776,"Courts of Justice, Edward Street,TR1 2PB",,Open,Cornwall Council ,South West,FALSE,
Malvern Hills District Council,Worcester Combined Court,Worcester Combined Court,1820,,,102050,"Shire Hall, Foregate Street,WR1 1EQ",,Open,Hereford & Worcester,Midlands,TRUE,
Redditch Borough Council,Worcester Combined Court,Worcester Combined Court,1825,,,102050,"Shire Hall, Foregate Street,WR1 1EQ",,Open,Hereford & Worcester,Midlands,TRUE,
Worcester City Council,Worcester Combined Court,Worcester Combined Court,1835,,,102050,"Shire Hall, Foregate Street,WR1 1EQ",,Open,Hereford & Worcester,Midlands,TRUE,
Wychavon District Council,Worcester Combined Court,Worcester Combined Court,1840,,,102050,"Shire Hall, Foregate Street,WR1 1EQ",,Open,Hereford & Worcester,Midlands,TRUE,
Wyre Forest District Council,Worcester Combined Court,Worcester Combined Court,1845,,,102050,"Shire Hall, Foregate Street,WR1 1EQ",,Open,Hereford & Worcester,Midlands,TRUE,
Bracknell Forest Council,Reading County Court,Reading County Court And Family Court,335,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East,FALSE,
West Berkshire Council,Reading County Court,Reading County Court And Family Court,340,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East,FALSE,
Reading Borough Council,Reading County Court,Reading County Court And Family Court,345,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East,FALSE,
Slough Borough Council,Reading County Court,Reading County Court And Family Court,350,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East,FALSE,
Royal Borough Of Windsor And Maidenhead,Reading County Court,Reading County Court And Family Court,355,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East,FALSE,
Wokingham Borough Council,Reading County Court,Reading County Court And Family Court,360,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East,FALSE,
