Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status,DFJ Area,Region
South Gloucestershire Council ,Bristol Civil and Family Justice Centre,Bristol Civil And Family Justice Centre,119,,,819890,"Redcliff Street,BS1 6GR",,Open,Bristol,South West
North Somerset Council ,Bristol Civil and Family Justice Centre,Bristol Civil And Family Justice Centre,121,,,819890,"Redcliff Street,BS1 6GR",,Open,Bristol,South West
Bath and North East Somerset Council ,Bristol Civil and Family Justice Centre,Bristol Civil And Family Justice Centre,114,,,819890,"Redcliff Street,BS1 6GR",,Open,Bristol,South West
Swindon County Council ,Swindon Combined Court ,Swindon Combined Court,3935,,,438850,"The Law Courts, Islington Street,SN1 2HG",,Open,Swindon County Council ,South West
Wiltshire Council ,Swindon Combined Court ,Swindon Combined Court,3940,,,438850,"The Law Courts, Islington Street,SN1 2HG",,Open,Wiltshire Council ,South West
Hampshire County Council ,Portsmouth Combined Court ,Portsmouth Combined Court Centre,1770,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Hampshire County Council ,South West
Southampton City Council ,Southampton Combined Court,Southampton Combined Court Centre,1780,,,43104,"The Courts of Justice, London Road,SO15 2XQ",,Open,Southampton City Council ,South West
Isle of Wight Council ,Portsmouth Combined Court ,Portsmouth Combined Court Centre,2114,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Isle of Wight Council ,South West
Portsmouth City Council ,Portsmouth Combined Court ,Portsmouth Combined Court Centre,1775,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Portsmouth City Council ,South West
"Bournemouth, Christchurch and Poole Council ",Bournemouth combined Court ,Bournemouth Combined Court,1260,,,101633,"Wessex Fields, Castle Lane East,BH7 7DS",,Open,"Bournemouth, Christchurch and Poole Council ",South West
Dorset Council ,Bournemouth combined Court ,Bournemouth Combined Court,1265,,,101633,"Wessex Fields, Castle Lane East,BH7 7DS",,Open,Dorset Council ,South West
Cornwall Council ,Truro Combined Court ,Truro Combined Court,840,,,475776,"Courts of Justice, Edward Street,TR1 2PB",,Open,Cornwall Council ,South West
Plymouth City Council,Plymouth Combined Court ,Plymouth Combined Court,1160,PL;TQ,,339463,"The Law Courts, Armada Way,PL1 2ER",,Open,Plymouth City Council ,South West
Plymouth City Council,Exeter Law Courts,Exeter Combined Court,1160,EX,,735217,"Southernhay Gardens, Exeter,EX1 1UH",,Open,Plymouth City Council ,South West
Devon County Council,Exeter Law Courts,Exeter Combined Court,1155,EX,,735217,"Southernhay Gardens, Exeter,EX1 1UH",,Open,Devon County Council  ,South West
Plymouth City Council,Plymouth Combined Court ,Plymouth Combined Court,1160,PL;TQ,,339463,"The Law Courts, Armada Way,PL1 2ER",,Open,Devon County Council  ,South West
Torbay Council,Exeter Law Courts,Exeter Combined Court,1165,EX,,735217,"Southernhay Gardens, Exeter,EX1 1UH",,Open,Torbay Council ,South West
Torbay Council,Plymouth Combined Court ,Plymouth Combined Court,1165,PL;TQ,,339463,"The Law Courts, Armada Way,PL1 2ER",,Open,Torbay Council ,South West
Somerset Council ,Taunton Combined Court ,"Taunton Crown, County And Family Court",3300,,,382409,"Shire Hall,TA1 4EU",,Open,Somerset Council ,South West
Hampshire County Council,Basingstoke County Court and Family Court,Basingstoke County Court And Family Court,1770,RG21;RG22;RG23;RG24,,457273,"The Court House, London Road,RG21 4AB",,Open,Hampshire County Council ,South West
