Local Authority,Designated Family Ct,Specific PostCodes,Excludes,Address,email,epimmsId
London Borough of Harrow ,West London Family Court,,,,,
London Borough of Havering ,East London Family Court,,,,,
London Borough of Hillingdon ,West London Family Court,,,,,
London Borough of Hillingdon ,West London Family Court,,,,,
London Borough of Hounslow ,West London Family Court,,,,,
London Borough of Islington,Central Family Court,,,,,
London Borough of Kensington and Chelsea ,Central Family Court,,,,,
London Borough of Kingston ,West London Family Court,,,,,
London Borough of Lambeth,Central Family Court,,,,,
London Borough of Lewisham ,East London Family Court,,,,,
London Borough of Merton ,West London Family Court,,,,,
London Borough of Newham,East London Family Court,,,,,
London Borough of Redbridge ,East London Family Court,,,,,
London Borough of Richmond,West London Family Court,,,,,
London Borough of Southwark ,Central Family Court,,,,,
London Borough of Sutton,West London Family Court,KT4;SM1;SM2;SM3;SM4;SM5;SM6;SM7,,,,
London Borough of Sutton,East London Family Court,CR0;CR4;CR5,,,,
London Borough of Tower Hamlets,East London Family Court,,,,,
London Borough of Waltham Forest,East London Family Court,E7;E11;E15;IG8,,,,
London Borough of Waltham Forest,Central Family Court,E4;E10;E17,,,,
London Borough of Wandsworth,Central Family Court,,,,,
London Borough of Westminster,Central Family Court,,,,,
Luton Borough Council ,Luton Justice Centre,,,,,
Manchester City Council,Manchester Civil Justice Centre,,,,,
Medway County Council,Canterbury DFC,,,,,
Merthyr Tydfil County Council,Merthyr Tydfil Combined Court,,,,,
Middlesbrough Borough Council ,Teesside Combined Court ,,,,,
Milton Keynes City Council  ,Milton Keynes County Court,,,,,
Monmouthshire County Council,Newport Civil and Family Court,,,,,
Neath Port Talbot County Borough Council,SwanseaDFC,,,,,
Newcastle City Council ,Newcastle Combined Court,,,,,
Newport City Council,Newport Civil and Family Court,,,,,
Norfolk County Council,Norwich Combined Court,,,,,
North East Lincolnshire Council ,Kingston upon Hull Combined Court,,,,,
North Lincolnshire Council ,Kingston upon Hull Combined Court,,,,,
North Northamptonshire Council,"Northampton Crown, County & Family Court",,,,,
North Tyneside Council ,Newcastle Combined Court,,,,,
North Yorkshire County Council ,York Combined Court,,,,,
Northumberland County Council ,Newcastle Combined Court,,,,,
Nottingham City Council,Nottingham County & Family Court,,,,,
Nottinghamshire County Council,Nottingham County & Family Court,,,,,
Oldham Metropolitan Borough Council,Manchester Civil Justice Centre,,,,,
Oxfordshire City Council,Oxford County Court,,,,,
Pembrokeshire County Council,Swansea DFC,,,,,
Peterborough City Council,Peterborough County Court,,,,,
Powys County Council,Swansea DFC,,Welshpool,,,
Powys County Council,Wrexham DFC,Welshpool,,,,
Reading Borough Council,Reading County Court,,,,,
Redcar and Cleveland Borough Council ,Teesside Combined Court ,,,,,
Rhondda Cynon Taff County Borough Council,Pontypridd County Court,,,,,
Rochdale Metropolitan Borough Council,Manchester Civil Justice Centre,,,,,
Rotherham Metropolitan Borough Council,Sheffield Designated Family Court,,,,,
Royal Borough of Windsor and Maidenhead,Reading County Court,,,,,
Rutland County Council,Peterborough County Court,,,,,
Salford City Council,Manchester Civil Justice Centre,,,,,
Sandwell Metropolitan Borough Council,Wolverhampton Combined Court Centre,,,,,
Sefton Metropolitan Borough Council,Liverpool Civil and Family Court,,,,,
Sheffield City Council ,Sheffield Designated Family Court,,,,,
Shropshire Council,Wolverhampton Combined Court Centre,,,,,
Slough Borough Council,Reading County Court,,,,,
Solihull Metropolitan Borough Council,Birmingham Civil & Family Justice Centre,,,,,
South Tyneside Metropolitan Borough Council ,Newcastle Combined Court,,,,,
Southend Borough Council,Chelmsford DFC,,,,,
St Helens Borough Council,Liverpool Civil and Family Court,,,,,
Staffordshire County Council,Stoke-on-Trent Combined Court,,,,,
Stockport Metropolitan Borough Council,Manchester Civil Justice Centre,,,,,
Stoke-on-Trent City Council,Stoke-on-Trent Combined Court,,,,,
Suffolk County Council,Chelmsford DFC,,,,,
Sunderland City Council,Newcastle Combined Court,,,,,
Surrey County Council,Guildford MC and Family Court,,,,,
Tameside Metropolitan Borough Council,Manchester Civil Justice Centre,,,,,
Telford & Wrekin Council,Wolverhampton Combined Court Centre,,,,,
The Vale of Glamorgan Council,Cardiff Civil Justice Centre,,,,,
Thurrock Borough Council,Chelmsford DFC,,,,,
Torfaen County Borough Council,Newport Civil and Family Court,,,,,
Trafford Metropolitan Borough Council,Manchester Civil Justice Centre,,,,,
Wakefield Metropolitan District Council ,Leeds Combined Court,,,,,
Walsall Metropoloitan Borough Council,Wolverhampton Combined Court Centre,,,,,
Warrington Borough Council,Liverpool Civil and Family Court,,,,,
Warwickshire County Council,Coventry Combined Court Centre,,,,,
West Berkshire Council,Reading County Court,,,,,
West Northamptonshire Council,"Northampton Crown, County & Family Court",,,,,
West Sussex County Council,Brighton DFC,,,,,
Westmorland and Furness Council,Carlisle Combined Court,,,,,
Wigan Metropolitan Borough Council,Manchester Civil Justice Centre,,,,,
Wirral Council,Liverpool Civil and Family Court,,,,,
Wokingham Borough Council,Reading County Court,,,,,
Wolverhampton City Council,Wolverhampton Combined Court Centre,,,,,
Worcestershire County Council,Worcester Combined Court,,,,,
Wrexham County Borough Council,Wrexham DFC,,,,,
York City Council ,York Combined Court,,,,,
